ano,Região,estado,municipio,populacao,area,densidade
2024-01-01,Norte,Pará,Capitão Poço,59960,2901.026,20.668549678630942
2024-01-01,Centro-Oeste,Goiás,Montes Claros de Goiás,8972,2900.397,3.0933696318124726
2024-01-01,Centro-Oeste,Goiás,Aporé,4452,2899.237,1.5355764292467293
2024-01-01,Sudeste,Minas Gerais,Patrocínio,93852,2874.344,32.651624161895725
2024-01-01,Norte,Amazonas,Urucurituba,25592,2863.889,8.936100526242463
2024-01-01,Norte,Pará,Soure,25218,2857.349,8.82566322839807
2024-01-01,Centro-Oeste,Goiás,Minaçu,26939,2854.137,9.438579857939544
2024-01-01,Centro-Oeste,Goiás,Morrinhos,53640,2846.299,18.845525364692886
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Terenos,18139,2845.653,6.374283863844257
2024-01-01,Nordeste,Ceará,Boa Viagem,52169,2835.037,18.401523507453344
2024-01-01,Norte,Pará,Bom Jesus do Tocantins,18958,2816.604,6.730800637931353
2024-01-01,Norte,Pará,Nova Esperança do Piriá,21259,2808.195,7.570343227589252
2024-01-01,Norte,Rondônia,Cerejeiras,16975,2783.297,6.0988820093579665
2024-01-01,Norte,Tocantins,Araguacema,6039,2774.505,2.176604475392908
2024-01-01,Nordeste,Ceará,Morada Nova,65323,2763.971,23.633750137031104
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Aparecida do Taboado,29446,2751.485,10.701857360661606
2024-01-01,Sudeste,Minas Gerais,Francisco Sá,23819,2747.295,8.669982655666756
2024-01-01,Centro-Oeste,Mato Grosso,Pontal do Araguaia,7299,2742.482,2.6614577597956885
2024-01-01,Sudeste,Minas Gerais,Itamarandiba,34137,2735.573,12.478921235148908
2024-01-01,Sudeste,Minas Gerais,Araguari,122874,2729.777,45.01246805141958
2024-01-01,Nordeste,Maranhão,Estreito,34353,2719.765,12.630870681841998
2024-01-01,Sudeste,Minas Gerais,Ibiá,22596,2704.132,8.356100959568542
2024-01-01,Nordeste,Piauí,Oeiras,39545,2703.138,14.629293805939616
2024-01-01,Sudeste,Minas Gerais,São Gonçalo do Abaeté,7521,2692.545,2.793268079085029
2024-01-01,Centro-Oeste,Mato Grosso,Conquista D'Oeste,3874,2684.676,1.443004667974832
2024-01-01,Sul,Rio Grande do Sul,Rio Grande,198958,2682.867,74.15872646687293
2024-01-01,Norte,Tocantins,Novo Acordo,4102,2678.262,1.5315902626404734
